kind	cat	name	files	depth	chain
wrapper	A	edit_chunk0_returning_receipt	src/services/discord/formatting/replace_long_message.rs	2	edit_channel_message → .edit_message
wrapper	A	edit_deferred_ephemeral	src/services/discord/idle_recap_interaction.rs	1	.edit_response
wrapper	A	edit_intake_placeholder	src/services/discord/gateway/outbound_messages.rs	6	edit_outbound_message_classified → deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	edit_meeting_message	src/services/discord/meeting_orchestrator/selection_runtime.rs	5	deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	edit_message	src/services/discord/gateway.rs,src/services/discord/meeting_orchestrator/selection_runtime.rs,src/services/discord/monitoring_status.rs,src/services/discord/outbound/transport.rs,src/services/discord/tui_prompt_relay/bridge_gateway.rs	1	.edit_message
wrapper	A	edit_message_with_retry	src/services/discord/placeholder_controller.rs	1	.edit_message
wrapper	A	edit_outbound_message	src/services/discord/gateway/outbound_messages.rs	5	deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	edit_outbound_message_classified	src/services/discord/gateway/outbound_messages.rs	5	deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	edit_placeholder_safe	src/services/discord/placeholder_sweeper.rs	6	edit_outbound_message → deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	edit_placeholder_with_operation	src/services/discord/tmux_placeholder_suppression/ops.rs	2	edit_channel_message → .edit_message
wrapper	A	edit_preserve_placeholder	src/services/discord/tmux_placeholder_suppression/ops.rs	3	edit_placeholder_with_operation → edit_channel_message → .edit_message
wrapper	A	edit_raw_message_once	src/services/dispatches/discord_delivery/transport.rs	1	REST:channels/{channel_id}/messages
wrapper	A	edit_terminal_placeholder	src/services/discord/tmux_placeholder_suppression/ops.rs	3	edit_placeholder_with_operation → edit_channel_message → .edit_message
wrapper	A	enqueue_headless_delivery	src/services/discord/turn_bridge/headless_delivery.rs	6	send_long_message_raw → send_long_message_raw_with_reference → send_long_message_raw_with_reference_returning_message_ids → send_channel_message_with_optional_reference → send_channel_message → .send_message
wrapper	A	ensure_queue_reaction_or_fallback_http	src/services/discord/outbound/reaction_control.rs	7	send_reaction_control_reply_http → send_referenced_lifecycle_notice → deliver_outbound → deliver_outbound_with_overrides → deliver_single → send_content → .edit_message
wrapper	A	ephemeral_reply	src/services/discord/commands/node.rs,src/services/discord/sidecar_interaction.rs	1	.create_response
wrapper	A	fence_stream_tick_visible_mutation_with_candidate_cleanup	src/services/discord/turn_bridge/stream_tick/guarded_persist.rs	4	persist_stream_tick_state_with_candidate_cleanup_mode → discard_pending_current_message_candidate → cleanup_unbound_bridge_anchor → .delete_message
wrapper	A	guard_rollover	src/services/discord/tmux_watcher/provider_output_guard.rs	2	edit_channel_message → .edit_message
wrapper	A	guarded_bridge_rollover_edit	src/services/discord/turn_bridge/stream_tick.rs	2	edit_message → .edit_message
wrapper	A	handle_cancel_prompt_replace	src/services/discord/turn_bridge/terminal_outcome_delivery/cancel_prompt_replace.rs	6	replace_message_with_outcome → replace_long_message_raw_with_outcome → replace_long_message_raw_with_outcome_returning_receipt → replace_long_message_raw_deferred_returning_receipt → send_channel_message → .send_message
wrapper	A	handle_delivery_epilogue	src/services/discord/turn_bridge/terminal_outcome_delivery/delivery_epilogue.rs	1	.delete_message
wrapper	A	handle_idle_recap_relay_diag_interaction	src/services/discord/idle_recap_interaction.rs	1	.create_response
wrapper	A	handle_relay_recovery	src/services/discord/health/recovery.rs	6	run_relay_recovery → run_relay_recovery_at → apply_relay_recovery_plan → apply_relay_recovery_plan_with_seams → queue_or_resume_open_alert_with_enqueue → .pin
wrapper	A	handle_send	src/services/discord/outbound/send_api.rs	8	handle_send_with_caller → send_message_with_backends_and_delivery_id_for_caller → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message
wrapper	A	handle_send_to_agent	src/services/discord/outbound/send_to_agent.rs	8	send_message_with_backends → send_message_with_backends_and_delivery_id → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message
wrapper	A	handle_send_with_caller	src/services/discord/outbound/send_api.rs	7	send_message_with_backends_and_delivery_id_for_caller → send_message_with_backends_and_delivery_options_for_caller → send_resolved_manual_message_with_client → send_resolved_manual_message_with_client_and_nonce_rollout → deliver_manual_notification → post_text_attachment → .send_message
wrapper	A	handle_senddm	src/services/discord/outbound/send_api.rs	3	deliver_manual_dm_notification → post_text_attachment → .send_message
wrapper	A	maybe_create_bridge_separate_status_panel_response	src/services/discord/turn_bridge/single_message_footer.rs	1	.send_message
wrapper	A	migrate_separate_status_panel_to_footer	src/services/discord/turn_bridge/status_panel.rs	1	.edit_message
wrapper	A	note_footer_superseded	src/services/discord/footer_view_reconciler/mod.rs	2	edit_channel_message → .edit_message
wrapper	A	note_footer_suppressed_for_tui_mirror	src/services/discord/footer_view_reconciler/mod.rs	2	edit_channel_message → .edit_message
